pickup_date,vendor_id,passenger_count,trip_distance,payment_type,fare_amount,tip_amount
2015-01-01,2,2,0.5699999928474426,2,5.0,0.0
2015-01-01,2,1,11.969999313354492,2,34.5,0.0
2015-01-01,2,5,0.7599999904632568,2,5.0,0.0
2015-01-01,2,1,1.149999976158142,2,6.0,0.0
2015-01-01,2,1,0.5799999833106995,2,4.5,0.0
2015-01-01,2,5,1.2999999523162842,2,8.0,0.0
2015-01-01,2,5,1.0199999809265137,2,6.5,0.0
2015-01-01,2,1,2.8399999141693115,2,12.0,0.0
2015-01-01,2,6,10.199999809265137,1,29.0,5.800000190734863
2015-01-01,2,1,2.379999876022339,2,11.0,0.0
2015-01-01,2,3,0.8299999833106995,1,5.0,1.0
2015-01-01,2,1,4.590000152587891,2,17.0,0.0
2015-01-01,2,1,1.8599998950958252,1,8.5,1.7000000476837158
2015-01-01,2,1,3.200000047683716,1,13.0,2.5999999046325684
2015-01-01,2,6,0.7199999690055847,2,4.5,0.0
2015-01-01,2,1,1.4399999380111694,2,6.0,0.0
2015-01-01,2,2,1.2400000095367432,2,7.0,0.0
2015-01-01,2,1,2.440000057220459,2,9.5,0.0
2015-01-01,2,1,4.950000286102295,2,17.0,0.0
2015-01-01,2,1,11.269999504089355,1,33.5,9.710000038146973
2015-01-01,2,5,1.2300000190734863,1,5.5,0.0
2015-01-01,2,1,0.8600000143051147,2,5.5,0.0
2015-01-01,2,1,0.8899999856948853,2,6.5,0.0
2015-01-01,2,1,2.4200000762939453,2,10.0,0.0
2015-01-01,2,1,9.429999351501465,1,28.0,8.329999923706055
2015-01-01,2,5,4.690000057220459,2,17.5,0.0
2015-01-01,2,1,1.28000009059906,2,6.5,0.0
2015-01-01,2,1,2.430000066757202,2,12.0,0.0
2015-01-01,2,1,1.75,1,8.0,1.600000023841858
2015-01-01,2,1,1.3199999332427979,1,6.0,1.5
2015-01-01,2,1,1.7300000190734863,2,8.5,0.0
2015-01-01,2,2,1.8700000047683716,2,9.0,0.0
2015-01-01,2,1,18.059999465942383,2,52.0,0.0
2015-01-01,2,1,1.6800000667572021,1,8.0,1.600000023841858
2015-01-01,2,2,1.0700000524520874,2,6.0,0.0
2015-01-01,2,1,8.850000381469727,2,25.5,0.0
2015-01-01,2,1,2.7899999618530273,1,11.0,2.75
2015-01-01,2,1,6.310000419616699,2,21.0,0.0
2015-01-01,2,1,0.8899999856948853,1,6.0,1.2000000476837158
2015-01-01,2,1,5.210000038146973,2,17.0,0.0
2015-01-01,2,3,4.110000133514404,1,16.0,3.200000047683716
2015-01-01,2,1,1.7599999904632568,1,9.0,1.7999999523162842
2015-01-01,2,5,0.7400000095367432,2,5.5,0.0
2015-01-01,2,1,3.859999895095825,1,15.0,3.0
2015-01-01,2,6,1.0099999904632568,2,5.0,0.0
2015-01-01,2,6,1.8599998950958252,1,7.0,1.399999976158142
2015-01-01,2,1,4.259999752044678,1,16.0,3.200000047683716
2015-01-01,2,1,1.1800000667572021,2,5.5,0.0
2015-01-01,2,3,3.559999942779541,1,13.0,2.5999999046325684
2015-01-01,2,1,0.699999988079071,1,4.5,0.8999999761581421
2015-01-01,2,1,1.8499999046325684,2,9.0,0.0
2015-01-01,2,1,8.760000228881836,1,26.5,6.619999885559082
2015-01-01,2,1,1.4199999570846558,2,8.0,0.0
2015-01-01,2,1,3.3399999141693115,2,12.0,0.0
2015-01-01,2,1,1.8299999237060547,1,8.5,2.0
2015-01-01,2,1,1.1399999856948853,1,6.0,1.5
2015-01-01,2,1,2.119999885559082,1,11.0,2.0
2015-01-01,2,1,12.579999923706055,1,34.0,9.829999923706055
2015-01-01,2,1,1.4299999475479126,1,7.0,1.399999976158142
2015-01-01,2,1,18.510000228881836,2,52.0,0.0
2015-01-01,2,1,5.930000305175781,2,20.0,0.0
2015-01-01,2,1,4.860000133514404,2,16.5,0.0
2015-01-01,2,1,0.9799999594688416,1,6.0,0.0
2015-01-01,2,2,1.190000057220459,2,6.0,0.0
2015-01-01,2,1,8.899999618530273,1,26.5,5.300000190734863
2015-01-01,2,5,4.179999828338623,1,14.0,2.799999952316284
2015-01-01,2,1,1.4199999570846558,1,6.0,1.5
